item,cate_1_name,cate_2_name,cate_3_name
鸡肉炒米粉·馕饼（对半）,主食,其他主食,
里脊火腿鸡蛋饼,主食,其他主食,
土家酱香饼,主食,其他主食,
鸡蛋灌饼,主食,其他主食,
红汤口味(限指麻辣烫),主食,其他主食,
双蛋鸡蛋灌饼,主食,其他主食,
一个鸡蛋的煎饼,主食,其他主食,
葱油饼,主食,其他主食,
酱香饼,主食,其他主食,
葱花油饼 半份,主食,其他主食,
鸡蛋饼,主食,其他主食,
特色鸡蛋饼,主食,其他主食,
老上海蛋饼+双蛋+油条+里脊肉,主食,其他主食,
经典烧肉粽,主食,其他主食,
招牌豪华煎饼【三拼】,主食,其他主食,
饼子,主食,其他主食,
杂粮煎饼+鸡蛋+脆饼,主食,其他主食,
老上海蛋饼+双蛋+脆饼,主食,其他主食,
烤红薯,主食,其他主食,
油炸面窝,主食,其他主食,
鸡肉炒米粉·馕饼（店长推荐）,主食,其他主食,
[爆款]沪食光老羌饼,主食,其他主食,
粢饭糕,主食,其他主食,
烤地瓜（点右上角↗❤️）【每单送一个】,主食,其他主食,
香油土鸡蛋煎饼,主食,其他主食,
纯手工油酥烧饼（夹菜）,主食,其他主食,
两个鸡蛋的煎饼,主食,其他主食,
香糯粢饭糕,主食,其他主食,
脆骨肠+里脊肉+双蛋煎饼果子,主食,其他主食,
王牌至尊全套煎饼,主食,其他主食,
基础鸡蛋煎饼,主食,其他主食,
热乎乎的自制手烙饼（卷饼.点我）,主食,其他主食,
冯氏肉灌饼,主食,其他主食,
经典酱香饼,主食,其他主食,
煎饼十脆饼十鸡蛋十里脊肉,主食,其他主食,
油酥鸡蛋饼加韭菜,主食,其他主食,
吴再添烧肉粽(酱包另装),主食,其他主食,
两个蛋+里脊肉 +王中王 +黄瓜,主食,其他主食,
【套餐】煎饼+里脊+热狗+鸡蛋折扣专栏,主食,其他主食,
鸡蛋饼（鸡蛋+生菜+脆饼）脆饼生菜不换东西,主食,其他主食,
双蛋火腿鸡蛋饼（正反各一个鸡蛋）,主食,其他主食,
葱花油饼（半份）,主食,其他主食,
普通牛肉泡馍,主食,其他主食,
鲜肉汤圆（熟/只）,主食,其他主食,
萌家秘卤大肉粽,主食,其他主食,
山东杂粮煎饼（煎饼➕鸡蛋➕脆饼）,主食,其他主食,
双鸡蛋果篦儿 薄脆,主食,其他主食,
土家酱香饼大份,主食,其他主食,
桃园酱香饼,主食,其他主食,
烤红薯中份,主食,其他主食,
（门店福利）烧饼,主食,其他主食,
老上海蛋饼+双蛋+里脊肉,主食,其他主食,
米卷,主食,其他主食,
鸡蛋菜煎饼,主食,其他主食,
双蛋果篦,主食,其他主食,
米饭必点（不送）,主食,其他主食,
鸡蛋菜煎饼实惠（新鲜蔬菜）,主食,其他主食,
煎饼果子,主食,其他主食,
纯花生油青菜+草鸡蛋,主食,其他主食,
罗氏大面窝,主食,其他主食,
五谷煎饼,主食,其他主食,
双蛋煎饼果子＋（薄脆）可选5种面,主食,其他主食,
孜然里脊煎饼,主食,其他主食,
双蛋肉松里脊煎饼,主食,其他主食,
全家福鸡蛋饼,主食,其他主食,
面窝,主食,其他主食,
【门店招牌】鸡蛋灌饼+里脊+土豆丝（98%的人必点）,主食,其他主食,
烤炉鸡蛋灌饼,主食,其他主食,
招牌酱香饼,主食,其他主食,
杂粮煎饼（脆饼+鸡蛋）,主食,其他主食,
焖饼炒鸡单人餐         [便宜还吃的好],主食,其他主食,
普通牛肉泡馍/含糖蒜+辣酱,主食,其他主食,
酱香饼（酱香浓郁）,主食,其他主食,
桃园酱香饼（1片）（切块备注）,主食,其他主食,
鸡蛋灌饼+里脊肉+烤肠+土豆丝+生菜,主食,其他主食,
鸡蛋灌饼+里脊套餐,主食,其他主食,
油酥鸡蛋饼加葱花,主食,其他主食,
杂粮煎饼+鲜鸡蛋+脆饼+里脊肉+生菜,主食,其他主食,
人气爆款！煎饼三兄弟,主食,其他主食,
杂粮煎饼+双蛋+脆饼,主食,其他主食,
优质西安羊肉泡馍【配糖蒜｜辣酱】,主食,其他主食,
招牌蛋饼,主食,其他主食,
正宗土家酱香饼,主食,其他主食,
（随心配）鸡蛋灌饼+肉+火腿肠+配菜,主食,其他主食,
青椒鸡蛋饼,主食,其他主食,
芝麻汤圆（熟/只）,主食,其他主食,
健康烤薯片,主食,其他主食,
燕子蛋饼超人+双蛋+里脊肉,主食,其他主食,
【新老客福利】烧饼(限点一份),主食,其他主食,
原味鸡蛋饼（含鸡蛋）（搭配必点）,主食,其他主食,
小时候的鸡蛋饼（正常含榨菜黄瓜丝生菜）,主食,其他主食,
葱香鸡蛋饼,主食,其他主食,
武大郎烧饼/微辣,主食,其他主食,
双蛋里脊杂粮煎饼。,主食,其他主食,
【强烈推荐】鸡蛋饼+2个蛋+火腿肠+里脊,主食,其他主食,
白饼,主食,其他主食,
葱花油饼（半张）,主食,其他主食,
葱油饼半份｜纯手工制作,主食,其他主食,
鸡蛋灌饼+里脊+土豆丝,主食,其他主食,
老盐城鸡蛋饼/2个土鸡蛋➕王中王➕里脊肉,主食,其他主食,
酱香饼（250克）,主食,其他主食,
土家酱香饼（人气王）,主食,其他主食,
千层饼,主食,其他主食,
招牌！玉米棒（新品种，天花板）,主食,其他主食,
煎饼果箅（薄脆）,主食,其他主食,
招牌烤炉鸡蛋灌饼,主食,其他主食,
双鸡蛋果篦儿,主食,其他主食,
大里脊肉煎饼【鸡蛋+脆饼+里脊肉】,主食,其他主食,
（热销）火腿鸡蛋炒饼,主食,其他主食,
五花大肉粽,主食,其他主食,
小油馍（1份）,主食,其他主食,
清蒸南瓜,主食,其他主食,
【招牌】葱油咸烧饼好评100%,主食,其他主食,
鸡蛋灌饼➕火腿肠➕铁板烧,主食,其他主食,
草鸡蛋灌饼+大里脊+田园蔬菜,主食,其他主食,
普通牛肉小炒（含两个饼）,主食,其他主食,
海苔风味酥松小贝蛋糕,甜点,其他甜品,
芋圆4号W,甜点,其他甜品,
全麦牛油果草鸡蛋三明治,甜点,其他甜品,
【三分脆】罗勒青酱鸡肉帕尼尼三明治,甜点,其他甜品,
小吊梨汤,甜点,其他甜品,
芒果白雪黑糯米,甜点,其他甜品,
【招牌必点】大份水果捞（超全配料）,甜点,其他甜品,
复购至尊【1005ml原味酸奶】水果捞,甜点,其他甜品,
我想来份1010ml水果捞,甜点,其他甜品,
我想来份1010ml水果捞.,甜点,其他甜品,
川呗枇杷烤梨/冰炖梨（单品爆售5000+）,甜点,其他甜品,
超大派1份（香辣）,甜点,其他甜品,
2个装：原味葡挞+招牌可颂蛋挞,甜点,其他甜品,
【收臧赠送】现烤黄金蛋挞1个（限1个）,甜点,其他甜品,
招牌拉丝水果捞【折扣】,甜点,其他甜品,
超值酸奶水果捞(推荐五星)1005ml,甜点,其他甜品,
招牌漳州四果汤,甜点,其他甜品,
人气爆款⭐越南古法烤鸡法棍三明治,甜点,其他甜品,
原味酸奶水果捞1005ml（大份）,甜点,其他甜品,
焦糖蛋挞,甜点,其他甜品,
精品水果捞中份（710）（冲单量赔本！重点关注！）,甜点,其他甜品,
「某红书爆款」干巴噎酸奶碗,甜点,其他甜品,
14种招牌酸奶水果捞1005ml【自选酸奶口味】,甜点,其他甜品,
【✨招牌✨】香蕉芒芒·希腊酸奶碗,甜点,其他甜品,
【分享】自选口味超大份水果捞（1005ml)分享版,甜点,其他甜品,
低脂TOP！黑椒鸡胸肉三明治（微微辣）,甜点,其他甜品,
正新鸡排 超大派,甜点,其他甜品,
红枣牛奶炖桃胶（热，大颗粒桃胶）,甜点,其他甜品,
芋圆桃胶雪燕炖奶（超级招牌）,甜点,其他甜品,
高阶版小蛮腰Buff12（蓝莓草莓黑桑葚味）,甜点,其他甜品,
招牌～大份水果捞（百亿补贴）,甜点,其他甜品,
经典酸奶水果捞口味自选（1005ml）,甜点,其他甜品,
川呗枇杷烤梨/冰炖梨（单品爆售2000➕）,甜点,其他甜品,
树莓DIY自选希腊酸奶碗5水果3小料,甜点,其他甜品,
双层小牛厚蛋三明治【强烈推荐】,甜点,其他甜品,
Snowy丨热带浆果希腊冷萃酸奶碗,甜点,其他甜品,
罗勒青酱鸡肉帕尼尼三明治,甜点,其他甜品,
牛肉芝士热压三明治Hot-pressed Sandwich,甜点,其他甜品,
好吃到没朋友1010ml水果捞+自选小料（加水果捞里）,甜点,其他甜品,
招牌芋圆,甜点,其他甜品,
黑糖烧豆花,甜点,其他甜品,
全料芋圆【特价七天】,甜点,其他甜品,
黑糖碎碎冰,甜点,冰沙,
秘制凉皮,主食,凉皮,
香辣秘制凉皮(面皮制作，不带麻酱，老板强推),主食,凉皮,
特色面皮,主食,凉皮,
秘制liang皮,主食,凉皮,
招牌擀面皮,主食,凉皮,
【饿特惠】三鲜炒酿皮,主食,凉皮,
牛筋面擀面皮对半（大份）,主食,凉皮,
苏北特色擀面皮（温热）,主食,凉皮,
凉皮,主食,凉皮,
巾凯面皮,主食,凉皮,
【霸气宠粉】黏糊两掺砂锅面+荤素搭配,主食,凉皮,
鸭肠,菜品,凉菜,
腐竹,菜品,凉菜,
新鲜手撕鸡,菜品,凉菜,
土豆,菜品,凉菜,
贡菜,菜品,凉菜,
鸭头,菜品,凉菜,
豆干,菜品,凉菜,
【葱花萝卜】香辣豆干,菜品,凉菜,
香辣土豆片50克 | 第一份仅需0.1哦~,菜品,凉菜,
藕片,菜品,凉菜,
麻辣牛肉,菜品,凉菜,
手撕口水鸡1份,菜品,凉菜,
不花钱请你吃豆干（每单限点一份）,菜品,凉菜,
笋丝,菜品,凉菜,
一起拌❤️招牌夫妻肺片+素菜+米饭,菜品,凉菜,
新鲜牛肉片,菜品,凉菜,
招牌卤肉,菜品,凉菜,
土豆片/50克,菜品,凉菜,
罗汉肉,菜品,凉菜,
荤——素 一起拌,菜品,凉菜,
神奇土豆/50g,菜品,凉菜,
豆笋1两,菜品,凉菜,
酸辣柠檬虾,菜品,凉菜,
浓香卤鸡腿！,菜品,凉菜,
手撕鸡肉(健身必选),菜品,凉菜,
土豆片,菜品,凉菜,
曹氏山药/50g,菜品,凉菜,
茄子，（微辣，有香菜）,菜品,凉菜,
【招牌卤味】卤小鸡腿 1个【福利限点】,菜品,凉菜,
【鞭炮笋鞭炮笋】50g,菜品,凉菜,
招牌鸭腿＋小荤菜＋素菜,菜品,凉菜,
武冈卤豆腐一片,菜品,凉菜,
长寿菜,菜品,凉菜,
夺命土豆（大约4/5片）,菜品,凉菜,
黄瓜,菜品,凉菜,
超香软烂卤汁大鸡腿一个【点击右上角专享】,菜品,凉菜,
桔梗（微辣）,菜品,凉菜,
招牌鸭头（明星产品）,菜品,凉菜,
土豆片100克,菜品,凉菜,
卤豆皮,菜品,凉菜,
鞭炮笋（极小概率会有打捞的渔网线，不是异物，介意慎拍）,菜品,凉菜,
莲藕,菜品,凉菜,
新鲜猪肉片,菜品,凉菜,
鸭架,菜品,凉菜,
甜辣鸭锁骨（必点）,菜品,凉菜,
口水鸡（微酸辣）,菜品,凉菜,
钱商茉莉香鸭头（必点哒）,菜品,凉菜,
钱商鸭锁骨,菜品,凉菜,
鞭炮笋/长寿笋50g（清洗很多遍依然可能有渔网，介意勿拍）,菜品,凉菜,
辣卤土豆片,菜品,凉菜,
牛肉,菜品,凉菜,
羊肉手抓饭قوي گۆشى پولۇ.,菜品,凉菜,
鸭肠一份纯手工,菜品,凉菜,
千张,菜品,凉菜,
【✨热销】香辣贡菜脆(50g),菜品,凉菜,
扯蓬豆腐干,菜品,凉菜,
宽粉（1条）,菜品,凉菜,
豆皮丝,菜品,凉菜,
【鲜辣过瘾凉拌菜】焗香手撕鸡十小菜十米饭,菜品,凉菜,
娃娃菜,菜品,凉菜,
鞭炮笋（马尾藻）,菜品,凉菜,
卤千张,菜品,凉菜,
曹氏鸭心/4颗,菜品,凉菜,
笋片,菜品,凉菜,
香辣卤藕片60g|香脆爽口,菜品,凉菜,
鸭锁骨,菜品,凉菜,
【手撕鸡】,菜品,凉菜,
山药,菜品,凉菜,
豆皮❤,菜品,凉菜,
鸭脖,菜品,凉菜,
海带丝,菜品,凉菜,
秘制口水鸡 低卡,菜品,凉菜,
口水鸡,菜品,凉菜,
曹氏神藕/50g,菜品,凉菜,
酱鸭腿,菜品,凉菜,
白切鸡|人气之选,菜品,凉菜,
香辣口水鸡,菜品,凉菜,
鸭卤最爽鸭头（个）辣,菜品,凉菜,
特惠熏拌鸡架2个（两个拌一起）,菜品,凉菜,
卤拌素拼（随机，不以图片为准）,菜品,凉菜,
软嫩入味•鸡翅根 1 个｜低脂高蛋白,菜品,凉菜,
甜辣土豆片,菜品,凉菜,
面藕,菜品,凉菜,
脆山药~生机勃勃,菜品,凉菜,
招牌美美拌鸡架,菜品,凉菜,
酸萝卜,菜品,凉菜,
土豆片/50g,菜品,凉菜,
曹氏豆皮/50g,菜品,凉菜,
招牌白斩鸡半只鸡➕2份蘸料,菜品,凉菜,
花生米,菜品,凉菜,
狮子头一个,菜品,凉菜,
【必吃榜】沈阳熏拌鸡架第一只0.1元（两只起购）,菜品,凉菜,
曹氏土豆片（4～5片）,菜品,凉菜,
钱商茉莉香风干鸭脖（外酥里嫩）,菜品,凉菜,
招牌鸭头（超级推荐）,菜品,凉菜,
羊肚丝,菜品,凉菜,
钱商茉莉香风干锁骨,菜品,凉菜,
风干鸭脖,菜品,凉菜,
嘎嘎鸭脑壳,菜品,凉菜,
新鲜鸭珍,菜品,凉菜,
红油猪耳,菜品,凉菜,
莴笋尖（凤尾）.,菜品,凉菜,
招牌酱肉包「单单必点.销量No.1」,主食,包子,其他包子
小杨生煎,主食,包子,生煎包
招牌豆角包「包子品类.销量No.1」,主食,包子,其他包子
鲜肉生煎（4只）,主食,包子,生煎包
招牌茄子包「听说女神.就爱这口」,主食,包子,其他包子
招牌⭐鲜肉小笼包（7个）,主食,包子,其他包子
酸菜油滋拉「就爱这口.回忆无穷」,主食,包子,其他包子
肉包,主食,包子,其他包子
透汁牛肉包「料好馅足.超级满足」,主食,包子,其他包子
透汁鲜肉包「品牌肉肉.很讲良心」,主食,包子,其他包子
【爆款】正宗天津猪肉大葱包子·鲜肉包第一份特惠,主食,包子,其他包子
【素馅爆款】鲜香韭菜鸡蛋粉条包子,主食,包子,其他包子
招牌！鲜肉小笼包,主食,包子,其他包子
鲜肉小笼包(8个),主食,包子,其他包子
鲜肉包,主食,包子,其他包子
鲜香肉包招牌,主食,包子,其他包子
鲜肉小笼包,主食,包子,其他包子
山丘小肉包,主食,包子,其他包子
煎包,主食,包子,生煎包
禧九招牌牛肉包,主食,包子,其他包子
『招牌』半沁汁鲜肉包子2个（大包子2个吃饱）,主食,包子,其他包子
香辣鸡腿包「口味独特.经典搭配」,主食,包子,其他包子
【地方特色】酸菜肉沫包子 地道东北味,主食,包子,其他包子
招牌肉包,主食,包子,其他包子
沁汁招牌鲜肉大包子2个,主食,包子,其他包子
【独家】火锅牛肉包子·精选内蒙高原牛肉（微辣）夜包子升级,主食,包子,其他包子
建德豆腐包（微辣）,主食,包子,其他包子
招牌鲜肉小笼包,主食,包子,其他包子
招牌鲜肉小笼包（7个）,主食,包子,其他包子
牛肉灌汤包,主食,包子,其他包子
肉菜组合【3个肉包+3个菜包】,主食,包子,其他包子
招牌小笼包（猪肉大葱）,主食,包子,其他包子
蜜汁叉烧包,主食,包子,其他包子
招牌吴记煎包,主食,包子,生煎包
南翔小笼,主食,包子,其他包子
水煎包,主食,包子,生煎包
建德豆腐包,主食,包子,其他包子
老面鲜肉小笼包（8个）,主食,包子,其他包子
韭菜鸡蛋包「儿时味道.童年记忆」,主食,包子,其他包子
水煎包｜纯手工制作,主食,包子,生煎包
吴再添芋包（酱包另装）,主食,包子,其他包子
鲜肉小笼包（8个）,主食,包子,其他包子
小笼包,主食,包子,其他包子
松毛汤包,主食,包子,其他包子
鲜肉小笼（熟）,主食,包子,其他包子
牛肉水煎包（3个）,主食,包子,生煎包
招牌建德豆腐包1个,主食,包子,其他包子
【招牌】土猪肉鲜肉包子小笼包（热·熟）,主食,包子,其他包子
百年经典素菜包,主食,包子,其他包子
鲜肉笋丁烧麦5只,主食,包子,其他包子
水煎包|黄金搭档,主食,包子,生煎包
红豆沙包,主食,包子,其他包子
手工云南山菌包,主食,包子,其他包子
老面鲜肉包（一两三个）,主食,包子,其他包子
（招牌）富阳土猪肉包子,主食,包子,其他包子
酸菜猪肉包两个,主食,包子,其他包子
手工鲜肉包,主食,包子,其他包子
桃园小肉包,主食,包子,其他包子
特色生煎（4只）,主食,包子,生煎包
鲜肉生煎包,主食,包子,生煎包
鲜肉生煎,主食,包子,生煎包
招牌煎包,主食,包子,生煎包
鲜肉小笼包(纯手工8个),主食,包子,其他包子
招牌！鲜肉小笼包（8个）,主食,包子,其他包子
鲜汁肉包,主食,包子,其他包子
牛肉水煎包（5个）,主食,包子,生煎包
【招牌】东坡肉包,主食,包子,其他包子
牛肉小笼包,主食,包子,其他包子
上海风味精肉生煎包（5个）,主食,包子,生煎包
水煎包｜纯手工制作（1个）,主食,包子,生煎包
生煎,主食,包子,生煎包
全家福小笼包（8个口味）,主食,包子,其他包子
半沁汁猪肉大葱馅大包子1两  (3个),主食,包子,其他包子
老酵鲜肉包,主食,包子,其他包子
牛肉包,主食,包子,其他包子
半沁汁猪肉大葱包子1两(3个),主食,包子,其他包子
半沁汁猪肉大葱馅包子1两(3个),主食,包子,其他包子
招牌芸豆包两个,主食,包子,其他包子
水煎包牛肉（4个）,主食,包子,生煎包
牛肉小笼包/屉,主食,包子,其他包子
杭州老面鲜肉小笼包,主食,包子,其他包子
牛肉包子,主食,包子,其他包子
鲜肉烧麦（1笼8个）,主食,包子,其他包子
三角肉包,主食,包子,其他包子
灌汤煎包,主食,包子,生煎包
土猪肉小笼包/笼,主食,包子,其他包子
小笼汤包（10个送醋包姜丝）,主食,包子,其他包子
老面鲜肉小笼包（7个）,主食,包子,其他包子
汤包（招牌），8个,主食,包子,其他包子
【镇店之宝】正宗天津猪肉大葱包子·鲜汁肉包第一份特惠,主食,包子,其他包子
青菜香菇包,主食,包子,其他包子
爆汁鲜肉小笼包（8个）,主食,包子,其他包子
猪肉大葱包（一两三个）,主食,包子,其他包子
6只小杨生煎,主食,包子,生煎包
鲜肉小笼包（10个）,主食,包子,其他包子
【镇店之宝】杭州小笼包（瘦肉香葱 纯手工老面）,主食,包子,其他包子
牛肉包【8个】,主食,包子,其他包子
一个煎包（肉的）,主食,包子,生煎包
(招牌)鲜肉小笼包8只,主食,包子,其他包子
牛肉煎包（晚上19点停售）,主食,包子,生煎包
金牌小肉包,主食,包子,其他包子
牛肉水煎包｜纯手工制作,主食,包子,生煎包
建德豆腐包(辣),主食,包子,其他包子
建德豆腐包（2个）,主食,包子,其他包子
现包现蒸鲜肉小笼包(6个),主食,包子,其他包子
鲜肉小笼包（10个,主食,包子,其他包子
网红火锅小笼包（7个）,主食,包子,其他包子
杭州老面鲜肉小笼包（8个）,主食,包子,其他包子
成都非遗酱肉包,主食,包子,其他包子
薄皮小笼包（8个）,主食,包子,其他包子
鲜肉包（下单10个送大餐盒）镇店之宝集美第一包,主食,包子,其他包子
牛肉水煎包4个,主食,包子,生煎包
鲜肉小笼汤包（8只）,主食,包子,其他包子
黄豆沙包,主食,包子,其他包子
三横王生煎【单点】,主食,包子,生煎包
招牌灌汤包,主食,包子,其他包子
菜包,主食,包子,其他包子
纯手工现做！招牌鲜肉小笼包｜一笼8个,主食,包子,其他包子
建德豆腐包（中辣）,主食,包子,其他包子
建德鲜肉包1个,主食,包子,其他包子
红糖香叶包,主食,包子,其他包子
舒蔡记特色生煎,主食,包子,生煎包
【薄皮】灌汤小笼包6个-手工现包,主食,包子,其他包子
招牌鲜肉生煎,主食,包子,生煎包
小高生煎(一份4个),主食,包子,生煎包
水煎包牛肉（6个）,主食,包子,生煎包
沁汁园招牌鲜肉大包子2个,主食,包子,其他包子
水煎包3个,主食,包子,生煎包
鲜肉大包,主食,包子,其他包子
生煎1.5两/6只,主食,包子,生煎包
传统肉包4个,主食,包子,其他包子
鲜肉小笼包【笼/10个】,主食,包子,其他包子
牛肉汤包（特色）/个,主食,包子,其他包子
山野菜素包,主食,包子,其他包子
肉丁烧卖,主食,包子,其他包子
水煎包Ｉ纯手工制作,主食,包子,生煎包
灌汤生煎包（5个）,主食,包子,生煎包
【招牌】鲜肉小笼包（热·熟包子）,主食,包子,其他包子
现包生煎 小份（5只）,主食,包子,生煎包
汤包8个,主食,包子,其他包子
新鲜出笼小笼包（5个）,主食,包子,其他包子
「招牌必点」西四半沁汁鲜猪肉包3个,主食,包子,其他包子
鲜肉生煎10个,主食,包子,生煎包
菜肉笋煎包,主食,包子,生煎包
奶皇包,主食,包子,其他包子
网红小笼包(纯手工火锅味8个),主食,包子,其他包子
一个煎包（菜的）,主食,包子,生煎包
【经典热销】招牌(双拼鲜肉+青菜）小笼包6个,主食,包子,其他包子
【招牌】鲜肉小笼包（热·熟包子）,主食,包子,小笼包
【爆款】猪肉包1两,主食,包子,其他包子
【推荐】鲜嫩茴香苗鸡蛋包 堂食上新一天爆卖230个,主食,包子,其他包子
鲜肉包（太好吃）,主食,包子,其他包子
招牌鲜肉生煎6只,主食,包子,生煎包
猪肉懒龙（条）,主食,包子,其他包子
汤包（招牌）,主食,包子,其他包子
【老面】鲜肉小笼包8个-手工现包,主食,包子,其他包子
平潭特色咸米时10个（蒸）,主食,包子,其他包子
正宗杭州小笼包,主食,包子,其他包子
特色生煎,主食,包子,生煎包
特色灌汤烧麦,主食,包子,其他包子
鲜肉生煎（四只）,主食,包子,生煎包
牛肉汤包,主食,包子,其他包子
店长推荐！特色生煎  （4只）,主食,包子,生煎包
小笼肉包（8只）,主食,包子,其他包子
【招牌】鲜肉小笼包【笼/10个】,主食,包子,其他包子
手工鲜笋烧麦（6只）,主食,包子,其他包子
三菌包（单点包子，不送）,主食,包子,其他包子
全家福小笼包（纯手工8个口味）,主食,包子,其他包子
[热销]猪肉灌汤包,主食,包子,其他包子
上海小笼汤包,主食,包子,其他包子
鲜笋肉烧卖（每份10个）,主食,包子,其他包子
老料鲜肉小笼包,主食,包子,其他包子
招牌小笼包（纯手工）,主食,包子,其他包子
白糖香叶包,主食,包子,其他包子
鲜汁灌汤小笼包,主食,包子,其他包子
鲜肉小笼包/放心肉,主食,包子,其他包子
猪肉灌汤包,主食,包子,其他包子
鲜笋烧麦,主食,包子,其他包子
【招牌】鲜肉小笼包10个（热·熟包子）,主食,包子,其他包子
汤包12个,主食,包子,其他包子
【招牌】纯手工鲜肉包,主食,包子,其他包子
【招牌】素韭菜鸡蛋包子1个,主食,包子,其他包子
【必吃】三鲜包1两,主食,包子,其他包子
招牌小笼包（猪肉大葱 ）,主食,包子,其他包子
京门鲜肉包/两,主食,包子,其他包子
上海风味生煎（5只）爆汁,主食,包子,生煎包
杂面包,主食,包子,其他包子
特色鲜肉小笼包,主食,包子,其他包子
陈记 招牌煎包,主食,包子,生煎包
猪肉大葱包,主食,包子,其他包子
现熬豆沙包,主食,包子,其他包子
鲜肉香菇烧梅一两半（6个）,主食,包子,其他包子
（纯前腿肉）鲜肉小笼包（油皮小包子）,主食,包子,其他包子
精品鲜肉包（优）,主食,包子,其他包子
招牌鲜肉小笼包（8个）,主食,包子,其他包子
手工酱肉包,主食,包子,其他包子
招牌小笼包 6只,主食,包子,其他包子
笋干豆腐包,主食,包子,其他包子
香菇青菜包,主食,包子,其他包子
叉烧包,主食,包子,其他包子
猪肉茴香馅大包子2个（一个比天津传统包子2个大））,主食,包子,其他包子
招牌土猪肉灌汤煎包（两个）,主食,包子,生煎包
猪肉三鲜（3个）,主食,包子,其他包子
松毛汤包一笼,主食,包子,其他包子
【椒麻香】油条碎包菜胡萝卜丝鸡蛋包,主食,包子,其他包子
茄子包两个,主食,包子,其他包子
三鲜肉包,主食,包子,其他包子
酱肉包子,主食,包子,其他包子
山东西葫芦鸡蛋海米包子,主食,包子,其他包子
汤包,主食,包子,其他包子
老味鲜肉包  1两（3个）,主食,包子,其他包子
虾肉小笼（带包装）,主食,包子,其他包子
猪肉香葱包【8个】,主食,包子,其他包子
传统鲜肉包1两3个,主食,包子,其他包子
收藏店铺就送1个生煎包~,主食,包子,生煎包
老面鲜肉小笼包,主食,包子,其他包子
【小笼包】鲜肉小笼包一笼,主食,包子,其他包子
牛肉烧麦10个(现包 现蒸)大个,主食,包子,其他包子
韭菜鸡蛋包/个,主食,包子,其他包子
招牌⛰鲜肉小笼包（6个）,主食,包子,其他包子
鲜汁肉包【纯手工现包】,主食,包子,其他包子
青椒茄子包,主食,包子,其他包子
特色汤包送醋包辣油包/8个,主食,包子,其他包子
香芋包,主食,包子,其他包子
A猪肉葱花馅,主食,包子,其他包子
玉米➕鲜肉➕虾仁《2➕2➕2》,主食,包子,生煎包
鲜豆角包,主食,包子,其他包子
鲜肉汤包(6只),主食,包子,其他包子
鲜肉小笼包（10）个,主食,包子,其他包子
笋干肉包,主食,包子,其他包子
手工馅鲜肉包,主食,包子,其他包子
〈爆款〉葱香鲜肉小笼包子（8个）,主食,包子,其他包子
酱肉包（大块牛肋条）,主食,包子,其他包子
酱肉包（单点包子，不送）,主食,包子,其他包子
经典鲜肉生煎（6只）,主食,包子,生煎包
半沁汁招牌鲜肉大包子2个,主食,包子,其他包子
招牌纯手工鲜肉小笼（现包现蒸）,主食,包子,其他包子
香菇青菜包【纯手工现包】,主食,包子,其他包子
