uuid	raw_text	dom	text	class
1000a974-73a8-4af2-b46a-635c7085408d	天猫精灵别太咸别太辣	1	别太咸别太辣	0
0c6e2ef9-ea1a-4c2c-9bf1-212b2f143dd8	天猫精灵来点不费牙的	1	不费牙的	0
b41344d4-bc42-4d7f-b1d2-601b3959c55a	天猫精灵来点好消化的	1	好消化的	0
ece19bb2-e1be-4fa2-bf67-b1042bb6d5de	天猫精灵随便来点主食	1	主食	0
0f624f89-a6b8-4ab9-93de-683e87d5b52c	天猫精灵少调料的菜	1	少调料	0
c7931025-ead5-444f-b446-a8d451d10c5e	天猫精灵来碗煮得烂糊的	1	煮得烂糊	0
0c3af62f-52c7-40c9-ad4b-db60db3e2266	天猫精灵要份清淡的白灼小油菜吧	1	清淡的白灼小油菜	1
0a41b1e7-07b4-4976-9f99-12426b22d221	天猫精灵来碗热乎的养生杂粮粥吧	1	养生杂粮粥	1
e80cfa58-352a-4e0a-92e9-99c7e86b48c3	阿拉要一份洋葱肉丝下饭套餐老嗲额米道肯定灵光	1	洋葱肉丝下饭套餐	1
429f72b0-4312-45c0-be2a-cd36381a6d5c	来一份南瓜小米百合养生粥呀养养身体蛮好额	1	南瓜小米百合养生粥	1
2b2b6848-2b47-4c3a-935f-edacf5591e6b	天猫精灵要碗核桃枸杞养生粥吧	1	核桃枸杞养生粥	1
4d917c6d-40f0-4bc5-9c23-03e0e2f8e99d	哎帮吾来一记番茄搭茄子小炒伐茄子要煸得酥酥额米道浓点米道老灵额	1	番茄搭茄子小炒	1
87121746-56c2-4b1d-8434-4a81253671db	哎帮吾来一盅红豆小米补身粥呀要烧得浓稠点哦米道嗲一点今朝就想吃口热乎软熟个物事	1	红豆小米补身粥	1
3c2253e9-99ff-4f71-8874-aebf761ad47a	要碗红薯南瓜暖胃粥吧	1	红薯南瓜暖胃粥	1
162f09b1-91ac-4652-aad6-f1edd93b8dc1	吾要一份屋里厢味道个番茄蛋花汤今朝想吃得清淡点伐要忒咸哦	1	番茄蛋花汤	1
2f21f74d-f373-41c7-ba85-66c7fb8da889	天猫精灵来碗玉米肉末粥	1	玉米肉末粥	1
ae062d02-2bca-4b1e-8507-55eaa2d605d3	天猫精灵来碗招牌老鸭粉丝汤鲜得很	1	招牌老鸭粉丝汤	1
a0284849-0964-46d0-ae37-bef9191cf0d9	天猫精灵来碗热乎的土鸡粥吧	1	土鸡粥	1
0a993b62-c31a-4fcb-b057-b9e28c2a20cf	天猫精灵今朝帮吾点只老滋补排骨浓汤好伐汤水要炖得透点味道鲜点骨头酥点吃了适意	1	老滋补排骨浓汤	1
df2f2df3-c38d-4231-ac69-f564e08bf3dc	天猫精灵大火快炒的嫩绿豆芽来一份	1	大火快炒的嫩绿豆芽	0
7e2f0f91-9d38-45ca-b1a9-d9024e27f34f	来份东北香米饭吧	1	东北香米饭	1
67bb72d6-e556-4f13-8c85-c2dd38f0f3fb	哎今朝想讨碗红枣山药大麦养胃粥米道烧得浓点哦粥要笃笃烫天冷吃了暖胃呀	1	红枣山药大麦养胃粥	1
ad9610c3-da9a-4165-9f70-46da73643ccb	天猫精灵来碗南瓜小米养胃粥	1	南瓜小米养胃粥	1
818668d7-916e-4f9b-b90c-4b32b8f89344	小把戏帮吾来碗鲜得来眉毛落特额素鸡蘑菇汤面好伐汤头浓点哦	1	素鸡蘑菇汤面	1
e6d3c0a6-c64d-4b4a-861b-53fdcb217c3b	天猫精灵罗式虾要煮几分钟才能熟	1	罗式虾	1
