item_name	category_name	cate_1_name	cate_2_name	cate_3_name
三丝打卤面	盖浇面	主食	面	盖浇面
三丝敲鱼汤	汤羹	菜品	汤羹	
三丝敲鱼米面	米线	主食	粉	米线
三丝素鸡冷面	凉面	主食	面	凉面
三丝酸辣汤	汤羹	菜品	汤羹	
三丝阳春面	汤面	主食	面	汤面
三个素菜盒饭	其他饭	主食	饭	其他饭
三千里荞麦冷面	凉面	主食	面	凉面
三口一品农家泡菜	凉菜	菜品	凉菜	
三婶子疙瘩汤	汤羹	菜品	汤羹	
三宝乌鸡粥	粥	主食	粥	
三宝海鲜粥	粥	主食	粥	
三小时八宝粥	粥	主食	粥	
三峡农家炖豆腐	热菜	菜品	热菜	
三文鱼低脂番茄意面	意大利面	主食	面	意大利面
三文鱼味噌汤	汤羹	菜品	汤羹	
三文鱼牛油果海鲜饭	盖浇饭	主食	饭	盖浇饭
三文鱼茶泡饭	泡饭	主食	饭	泡饭
三更美龄粥	粥	主食	粥	
三碗豆腐小碗肉酱两碗高粱米饭	其他菜品	其他	其他菜品	
三种菌菇炒肉	其他菜品	其他	其他菜品	
三米红豆黑米粥	粥	主食	粥	
三米绿色青菜粥	粥	主食	粥	
三米豆角焖面	焖面	主食	面	焖面
三米青菜粥	粥	主食	粥	
三素三肉盒饭	其他饭	主食	饭	其他饭
三色糙米饭	热菜	菜品	热菜	
三荤一炒二素套餐	其他菜品	其他	其他菜品	
三荤两素一饭	其他饭	主食	饭	其他饭
三荤两素加米饭	其他菜品	其他	其他菜品	
三荤二素一汤一饭	其他菜品	其他	其他菜品	
三荤二素一饭一汤	其他菜品	其他	其他菜品	
三药炒木耳	热菜	菜品	热菜	
三菇炒肉丝	热菜	菜品	热菜	
三鲜一品豆腐饭	盖浇饭	主食	饭	盖浇饭
三鲜丝瓜面	汤面	主食	面	汤面
三鲜乌冬面	乌冬面	主食	面	乌冬面
三鲜刀削面	其他面	主食	面	其他面
三鲜大烩菜	热菜	菜品	热菜	
三鲜姜汁米面	米线	主食	粉	米线
三鲜姜汤面	汤面	主食	面	汤面
三鲜娃娃菜	热菜	菜品	热菜	
三鲜山粉面	汤面	主食	面	汤面
三鲜打卤面	盖浇面	主食	面	盖浇面
三鲜杂烩汤	热菜	菜品	热菜	
三鲜汤带丝汤	汤羹	菜品	汤羹	
三鲜汤泡饭	泡饭	主食	饭	泡饭
三鲜炒芦笋	热菜	菜品	热菜	
三鲜珍珠汤	汤羹	菜品	汤羹	
三鲜疙瘩汤	汤羹	菜品	汤羹	
三鲜白丸汤	汤羹	菜品	汤羹	
三鲜砂锅粥	粥	主食	粥	
三鲜粉丝汤	其他粉	主食	粉	其他粉
三鲜素烩饭	烩饭	主食	饭	烩饭
三鲜紫菜蛋花汤	汤羹	菜品	汤羹	
三鲜绿豆面	汤面	主食	面	汤面
三鲜茄子双拼饭	盖浇饭	主食	饭	盖浇饭
三鲜菜泡饭	泡饭	主食	饭	泡饭
三鲜豆腐汤	汤羹	菜品	汤羹	
三鲜醋椒豆腐汤	汤羹	菜品	汤羹	
三鲜青菜泡饭	泡饭	主食	饭	泡饭
三鲜鱼丸汤	汤羹	菜品	汤羹	
三鲜鸡蛋汤	汤羹	菜品	汤羹	
三鲜黄鱼面	汤面	主食	面	汤面
三黑乌发粥	粥	主食	粥	
上品娃娃菜	蔬菜类	烧烤	配菜	蔬菜类
上汤娃娃菜	热菜	菜品	热菜	
上汤广东西洋菜	热菜	菜品	热菜	
上汤时令蔬菜	热菜	菜品	热菜	
上汤白苋菜	热菜	菜品	热菜	
上汤红苋菜	热菜	菜品	热菜	
上汤西洋菜	热菜	菜品	热菜	
上汤金花菜	热菜	菜品	热菜	
上汤鸡毛菜	热菜	菜品	热菜	
上海卤蛋蔬菜面	汤面	主食	面	汤面
上海小青菜	蔬菜类	火锅/串串/麻辣烫/色拉自选	配菜	蔬菜类
上海粉丝汤	其他粉	主食	粉	其他粉
上海菜泡饭	泡饭	主食	饭	泡饭
上海青油菜	蔬菜类	火锅/串串/麻辣烫/色拉自选	配菜	蔬菜类
上海青炒豆筋	热菜	菜品	热菜	
下单免费送自制小菜	凉菜	菜品	凉菜	
下达河豆干炒蒜苗	热菜	菜品	热菜	
下锅烂扇贝蛋花疙瘩汤	汤羹	菜品	汤羹	
下锅烂海蛎子豆腐汤	汤羹	菜品	汤羹	
下锅烂疙瘩汤	汤羹	菜品	汤羹	
下锅烂蛋花汤	汤羹	菜品	汤羹	
下锅烂蛋花疙瘩汤	汤羹	菜品	汤羹	
下锅烂鱼丸汤	汤羹	菜品	汤羹	
下饭八宝菜	凉菜	菜品	凉菜	
下饭的西红柿炒鸡蛋	热菜	菜品	热菜	
下饭菜炒鸡蛋	热菜	菜品	热菜	
下饭黄瓜小咸菜	凉菜	菜品	凉菜	
不一样的包菜	热菜	菜品	热菜	
不想长大的娃娃菜	蔬菜类	火锅/串串/麻辣烫/色拉自选	配菜	蔬菜类
不放葱的蛋炒饭	炒饭	主食	饭	炒饭
不油腻的油麦菜	蔬菜类	火锅/串串/麻辣烫/色拉自选	配菜	蔬菜类
不辣热汤荞麦面	汤面	主食	面	汤面
不辣选我丨葱油刀削面	其他面	主食	面	其他面
不需要米饭	白米饭	小吃	饭	白米饭
不麻不辣可加两种面	蔬菜类	火锅/串串/麻辣烫/色拉自选	配菜	蔬菜类
丙洲一品粥	粥	主食	粥	
东关小瘦肉丸子汤	汤羹	菜品	汤羹	
东北五常大米饭	白米饭	主食	饭	白米饭
东北五常米饭	白米饭	主食	饭	白米饭
东北五常香米饭	白米饭	主食	饭	白米饭
东北养生拌菜	凉菜	菜品	凉菜	
东北冻豆腐炖白菜	热菜	菜品	热菜	
东北大拌菜	凉菜	菜品	凉菜	
东北大白菜炖豆腐	热菜	菜品	热菜	
东北大盘凉菜	凉菜	菜品	凉菜	
东北大碴子粥	粥	主食	粥	
东北大碴粥	粥	主食	粥	
东北大米米饭	白米饭	主食	饭	白米饭
东北大米饭	白米饭	其他	饭	白米饭
东北大米饭饭饭饭饭饭	白米饭	主食	饭	白米饭
东北大酱炒鸡蛋	热菜	菜品	热菜	
东北大馇粥	粥	主食	粥	
东北家常凉菜	凉菜	菜品	凉菜	
东北家常大炖菜	热菜	菜品	热菜	
东北家常炖菜	热菜	菜品	热菜	
东北小碴粥	粥	主食	粥	
东北小米粥	粥	主食	粥	
东北小鸡炖蘑菇	热菜	菜品	热菜	
东北小鸡炖蘑菇小份	热菜	菜品	热菜	
东北小鸡炖蘑菇粉	热菜	菜品	热菜	
东北慢炖酸菜	热菜	菜品	热菜	
东北打卤面	盖浇面	主食	面	盖浇面
东北无常香米饭	白米饭	主食	饭	白米饭
东北有机米饭	白米饭	主食	饭	白米饭
东北木耳炒蘑菇	热菜	菜品	热菜	
东北木耳炒鸡蛋	热菜	菜品	热菜	
东北炒合菜	热菜	菜品	热菜	
东北炖豆角盖饭	盖浇饭	主食	饭	盖浇饭
东北特色疙瘩汤	汤羹	菜品	汤羹	
东北玉米面	其他菜品	其他	其他菜品	
东北珍珠大米饭	白米饭	主食	饭	白米饭
东北珍珠米饭	白米饭	主食	饭	白米饭
东北珍珠香白米饭	白米饭	主食	饭	白米饭
东北疙瘩汤	汤羹	菜品	汤羹	
东北白米饭	白米饭	主食	饭	白米饭
东北盘锦大米饭	白米饭	主食	饭	白米饭
东北碴子粥	粥	主食	粥	
东北稻花香米饭	白米饭	主食	饭	白米饭
东北稻香白米饭	白米饭	主食	饭	白米饭
东北老家疙瘩汤	汤羹	菜品	汤羹	
东北自酿黄豆酱炒蛋	热菜	菜品	热菜	
东北芹菜炒粉条	热菜	菜品	热菜	
东北茄子炖土豆	热菜	菜品	热菜	
东北蒜苗炒蛋	热菜	菜品	热菜	
东北蘸酱菜	凉菜	菜品	凉菜	
东北蟹田大米米饭	白米饭	主食	饭	白米饭
东北酱炒蛋	热菜	菜品	热菜	
东北酸菜炒粉	热菜	菜品	热菜	
东北酸菜炒粉丝	热菜	菜品	热菜	
东北酸菜炒粉小份	热菜	菜品	热菜	
东北酸菜炒粉条	热菜	菜品	热菜	
东北铁盆拌菜	凉菜	菜品	凉菜	
东北长粒香大米饭	白米饭	主食	饭	白米饭
东北长粒香米饭	白米饭	主食	饭	白米饭
东北香米饭	白米饭	主食	饭	白米饭
东北高粱米水饭	白米饭	主食	饭	白米饭
东北黄瓜拉皮无米饭	凉菜	菜品	凉菜	
东北黄粗面	其他菜品	其他	其他菜品	
东北黑木耳炒白菜	热菜	菜品	热菜	
东北黑木耳炒肉	热菜	菜品	热菜	
东北黑木耳青椒炒肉	热菜	菜品	热菜	
东北黑白菜	热菜	菜品	热菜	
东坞山腐皮炒青菜	热菜	菜品	热菜	
东山紫菜饭	焖饭	主食	饭	焖饭
东方大拌菜	凉菜	菜品	凉菜	
东阳炒粉丝	热菜	菜品	热菜	
丝瓜三鲜面	汤面	主食	面	汤面
丝瓜土鸡蛋汤	汤羹	菜品	汤羹	
丝瓜大虾汤	汤羹	菜品	汤羹	
丝瓜家常炒	热菜	菜品	热菜	
丝瓜扇贝柱鸡蛋汤	汤羹	菜品	汤羹	
丝瓜撒子汤	汤羹	菜品	汤羹	
丝瓜榨菜蛋汤	汤羹	菜品	汤羹	
丝瓜毛豆炒肉片	热菜	菜品	热菜	
丝瓜滑蛋面	汤面	主食	面	汤面
丝瓜炒土鸡蛋	热菜	菜品	热菜	
丝瓜炒毛豆	热菜	菜品	热菜	
丝瓜炒毛豆子	热菜	菜品	热菜	
丝瓜炒毛豆米	热菜	菜品	热菜	
丝瓜炒番茄	热菜	菜品	热菜	
丝瓜炒笋干	热菜	菜品	热菜	
丝瓜炒肉丝	热菜	菜品	热菜	
丝瓜炒花蛤	热菜	菜品	热菜	
丝瓜炒虾皮	热菜	菜品	热菜	
丝瓜炒蛤蜊	热菜	菜品	热菜	
丝瓜炒西红柿	热菜	菜品	热菜	
丝瓜炒豆瓣	热菜	菜品	热菜	
丝瓜炒豆米	热菜	菜品	热菜	
丝瓜炒面筋	热菜	菜品	热菜	
丝瓜炒韭菜	热菜	菜品	热菜	
丝瓜炒鸡蛋	热菜	菜品	热菜	
丝瓜炒鸡蛋盖饭	盖浇饭	主食	饭	盖浇饭
丝瓜炒鹿茸菇	热菜	菜品	热菜	
丝瓜炖面筋	热菜	菜品	热菜	
丝瓜番茄蛋汤	汤羹	菜品	汤羹	
丝瓜笋干面	盖浇面	主食	面	盖浇面
丝瓜肉片汤	汤羹	菜品	汤羹	
丝瓜蛋花汤	汤羹	菜品	汤羹	
丝瓜螺仔汤	汤羹	菜品	汤羹	
丝瓜锦粉面	汤面	主食	面	汤面
丝瓜鱼元汤	汤羹	菜品	汤羹	
丝瓜鸡蛋扁面	汤面	主食	面	汤面
丝瓜鸡蛋拌面	拌面	主食	面	拌面
丝瓜鸡蛋汤	汤羹	菜品	汤羹	
丝瓜鸡蛋盖浇饭	盖浇饭	主食	饭	盖浇饭
丝瓜鸡蛋粉丝汤	其他粉	主食	粉	其他粉
丝瓜鸡蛋面	汤面	主食	面	汤面
丝苗白米饭	白米饭	主食	饭	白米饭
丝苗香米饭	白米饭	主食	饭	白米饭
两个标准火烧一个疙瘩汤	汤羹	菜品	汤羹	
两个鸡蛋砂汤	汤羹	菜品	汤羹	
两块排骨白菜含米饭	其他菜品	其他	其他菜品	
两荤一素套餐米饭	其他菜品	其他	其他菜品	
两荤两素带米饭	其他菜品	其他	其他菜品	
严选山楂粥	粥	主食	粥	
中份冬瓜肋边米饭	热菜	菜品	热菜	
中份小炒菜花	热菜	菜品	热菜	
中份小炒豆芽	热菜	菜品	热菜	
中份小白菜炒蛋	热菜	菜品	热菜	
中份海带肋边米饭	其他菜品	其他	其他菜品	
中份火爆大头菜	热菜	菜品	热菜	
中份炒三丝	热菜	菜品	热菜	
中份炒土豆丝	热菜	菜品	热菜	
中份白菜肋边米饭	其他菜品	其他	其他菜品	
中份粢米饭	其他饭	主食	饭	其他饭
中份肋边白菜	其他菜品	其他	其他菜品	
中份西红柿肋边米饭	热菜	菜品	热菜	
中份野菌汤	汤羹	菜品	汤羹	
中份韭菜沫炒鸡蛋	热菜	菜品	热菜	
中份韭菜炒鸡蛋	热菜	菜品	热菜	
中华八宝粥	粥	主食	粥	
中华海草小菜	凉菜	菜品	凉菜	
中华裙带菜	凉菜	菜品	凉菜	
中卫杂拌菜	凉菜	菜品	凉菜	
中宁清炖土鸡	热菜	菜品	热菜	
中街老鸭粉丝汤	其他粉	主食	粉	其他粉
中骨海带汤	汤羹	菜品	汤羹	
丰收压锅菜	热菜	菜品	热菜	
丰收蘸酱菜	凉菜	菜品	凉菜	
串串豆皮卷贡菜	蔬菜类	火锅/串串/麻辣烫/色拉自选	配菜	蔬菜类
丸子木耳烧白菜	热菜	菜品	热菜	
丸子烧木耳白菜	热菜	菜品	热菜	
丸子粉丝小白菜	其他粉	主食	粉	其他粉
丸子萝卜汤	汤羹	菜品	汤羹	
丸子萝卜粉丝汤	其他粉	主食	粉	其他粉
主题海陆双拼荞麦面	健康餐	色拉轻食	健康餐	
丽华园洪湖藕汤	汤羹	菜品	汤羹	
之补山药排骨粥	粥	主食	粥	
乌米八宝粥	粥	主食	粥	
乌米绿豆汤	糖水/炖品	甜点	糖水/炖品	
乌豆熟地降火汤	汤羹	菜品	汤羹	
乌鱼蛋疙瘩汤	汤羹	菜品	汤羹	
乌鸡三鲜面	汤面	主食	面	汤面
乌鸡养心粥	粥	主食	粥	
乌鸡汤三鲜面	汤面	主食	面	汤面
乌鸡汤套餐饭	其他菜品	其他	其他菜品	
乌鸡汤套饭	其他菜品	其他	其他菜品	
乌鸡汤炖罐	汤羹	菜品	汤羹	
乌鸡汤馄炖	馄饨	主食	馄饨	
乌鸡炖汤小馄饨	馄饨	主食	馄饨	
乌鸡炖罐汤	汤羹	菜品	汤羹	
乌鸡瓦罐汤	汤羹	菜品	汤羹	
乌鸡砂锅粥	粥	主食	粥	
乌鸡红枣瓦罐汤	汤羹	菜品	汤羹	
乌鸡罐罐面	汤面	主食	面	汤面
乌鸡肉丁煲汤	汤羹	菜品	汤羹	
乌鸡药膳汤	汤羹	菜品	汤羹	
乌鸡长寿面	汤面	主食	面	汤面
乌鸡馄饨汤	馄饨	主食	馄饨	
九层塔炒茄子	热菜	菜品	热菜	
九菜炒豆腐	热菜	菜品	热菜	
乡厨大拌菜	凉菜	菜品	凉菜	
乡村大烩菜	热菜	菜品	热菜	
乡村小炒柴火豆腐	热菜	菜品	热菜	
乡村疙瘩汤	汤羹	菜品	汤羹	
乡村茄子拌饭	盖浇饭	主食	饭	盖浇饭
乡村蘸酱菜	凉菜	菜品	凉菜	
乡野清新蘸酱菜	凉菜	菜品	凉菜	
乳鸽砂锅粥	粥	主食	粥	
乾隆娃娃菜	凉菜	菜品	凉菜	
二两白米饭	白米饭	主食	饭	白米饭
二代粉丝合菜	热菜	菜品	热菜	
二大娘大葱炒鸡蛋	热菜	菜品	热菜	
二大娘拌莜面	其他面	主食	面	其他面
二嫂疙瘩拌汤	汤羹	菜品	汤羹	
二白菜炒鹿茸菌	热菜	菜品	热菜	
二白菜炖土豆条	热菜	菜品	热菜	
二白菜炖豆腐	热菜	菜品	热菜	
二米南瓜粥	粥	主食	粥	
二荤二素一饭	其他菜品	其他	其他菜品	
二荤四素请选择两种荤菜	米线	主食	粉	米线
于掌勺大拌菜	凉菜	菜品	凉菜	
云南墨江紫米饭	白米饭	主食	饭	白米饭
云南翠绿生菜粥	粥	主食	粥	
云耳炒山药	热菜	菜品	热菜	
云耳百合炒山药	热菜	菜品	热菜	
云龙大拌菜	凉菜	菜品	凉菜	
五常原产稻花香米饭	白米饭	主食	饭	白米饭
五常大米米饭	白米饭	主食	饭	白米饭
五常大米饭	白米饭	主食	饭	白米饭
五常大米香米饭	白米饭	主食	饭	白米饭
五常珍珠香米饭	白米饭	主食	饭	白米饭
五常生态米饭	白米饭	主食	饭	白米饭
五常白米饭	白米饭	主食	饭	白米饭
五常稻花米饭	白米饭	主食	饭	白米饭
五常稻花香米饭	白米饭	其他	饭	白米饭
五常稻香米饭	白米饭	主食	饭	白米饭
五常精品米饭	白米饭	主食	饭	白米饭
五常红豆饭	焖饭	主食	饭	焖饭
五常长粒香米饭	白米饭	主食	饭	白米饭
五常香米饭	白米饭	主食	饭	白米饭
五常香米饭米饭	白米饭	主食	饭	白米饭
五彩大拌菜	凉菜	菜品	凉菜	
五彩小拌汤	汤羹	菜品	汤羹	
五彩时蔬粥	粥	主食	粥	
五彩炒粉丝	热菜	菜品	热菜	
五彩疙瘩汤	汤羹	菜品	汤羹	
五彩素营养粥	粥	主食	粥	
五指毛桃土茯苓排骨汤	汤羹	菜品	汤羹	
五指毛桃炖汤	汤羹	菜品	汤羹	
五指毛桃炖老火汤	汤羹	菜品	汤羹	
五指毛桃炖老鸡汤	汤羹	菜品	汤羹	
五星大拌菜	凉菜	菜品	凉菜	
五果冰糖粥	粥	主食	粥	
五福临门八宝粥	粥	主食	粥	
五种番茄浇汁莜面	拌面	主食	面	拌面
五花肉大白菜炖豆腐	热菜	菜品	热菜	
五花肉炖大白菜豆腐	热菜	菜品	热菜	
五花肉炖海带白菜豆腐	热菜	菜品	热菜	
五花肉炖白菜豆腐	热菜	菜品	热菜	
五荤二素一汤一饭	其他菜品	其他	其他菜品	
五行益寿养生粥	粥	主食	粥	
五谷丰登风味凉菜	凉菜	菜品	凉菜	
五谷丰登饭	盖浇饭	主食	饭	盖浇饭
五谷八宝粥	粥	主食	粥	
五谷杂粮养生粥	粥	主食	粥	
五谷杂粮稀饭	粥	主食	粥	
五谷杂粮粥	粥	主食	粥	
五谷杂粮补气粥	粥	主食	粥	
五谷杂粮饭	白米饭	色拉轻食	饭	白米饭
五谷精华小米粥	粥	主食	粥	
五谷红豆粥	粥	主食	粥	
五谷黑米粥	粥	主食	粥	
五香卷炒芹菜	热菜	菜品	热菜	
五香炒芹菜	热菜	菜品	热菜	
五香炒青椒	热菜	菜品	热菜	
五香豆沫粥	粥	主食	粥	
产妇西红柿鸡蛋面	汤面	主食	面	汤面
京味打卤面	盖浇面	主食	面	盖浇面
京味炒合菜	热菜	菜品	热菜	
京味炒红果	热菜	菜品	热菜	
京味炖带鱼	热菜	菜品	热菜	
京味疙瘩汤	汤羹	菜品	汤羹	
京味酸辣汤	汤羹	菜品	汤羹	
京嘴儿大拌菜	凉菜	菜品	凉菜	
京城味道丨豆泡汤	汤羹	菜品	汤羹	
京城手擀鸡蛋虾皮汆面	手擀面	主食	面	手擀面
京糕乾隆白菜	热菜	菜品	热菜	
京葱炒鸭丝	热菜	菜品	热菜	
京酱肉丝菠菜	热菜	菜品	热菜	
亲一定要点米饭	白米饭	主食	饭	白米饭
人人爱烤花菜	蔬菜类	烧烤	蔬菜类	
人参乌鸡汤	汤羹	菜品	汤羹	
人参大枣粥	粥	主食	粥	
人参山药鸽子煲汤	汤羹	菜品	汤羹	
人参鸽子汤	汤羹	菜品	汤羹	
人生百态咸菜豆腐汤	汤羹	菜品	汤羹	
什蔬蛋炒饭	炒饭	主食	饭	炒饭
什锦三鲜汤	汤羹	菜品	汤羹	
什锦压豆面	汤面	主食	面	汤面
什锦大拌菜	凉菜	菜品	凉菜	
什锦小拌菜	凉菜	菜品	凉菜	
什锦水果汤	其他甜品	甜点	其他甜品	
什锦水果热粥	粥	主食	粥	
什锦水果粥	粥	主食	粥	
什锦炒米粉	米线	主食	粉	米线
什锦炒素盖浇饭	盖浇饭	主食	饭	盖浇饭
什锦炒鲜蔬	热菜	菜品	热菜	
什锦素卤刀削面	其他面	主食	面	其他面
什锦素拌面	拌面	主食	面	拌面
什锦蔬菜咖喱饭	盖浇饭	主食	饭	盖浇饭
什锦蔬菜炒饭	炒饭	主食	饭	炒饭
什锦蔬菜粥	粥	主食	粥	
什锦蘑菇盖饭	盖浇饭	主食	饭	盖浇饭
什锦香葱蛋炒饭	炒饭	主食	饭	炒饭
什锦鱼丸汤	汤羹	菜品	汤羹	
什锦鲜蔬咖喱乌冬伴面	乌冬面	主食	面	乌冬面
什锦鲜蔬炒面	炒面	主食	面	炒面
仆豆角藕丁小碗菜	热菜	菜品	热菜	
今顺玉米温面	汤面	主食	面	汤面
介丝炒肉丝	热菜	菜品	热菜	
仙人姜汁核桃炖蛋	糖水/炖品	甜点	糖水/炖品	
伏尔加蔬菜汤	汤羹	菜品	汤羹	
众家炒合菜	热菜	菜品	热菜	
众稻八宝粥	粥	主食	粥	
优惠手撕包菜	热菜	菜品	热菜	
优质东北大米米饭	白米饭	主食	饭	白米饭
优质大米饭	白米饭	主食	饭	白米饭
优质小米南瓜粥	粥	主食	粥	
优质白米饭	白米饭	主食	饭	白米饭
优质素冒菜	其他菜品	其他	其他菜品	
优质菌菇冒菜	其他菜品	其他	其他菜品	
传家紫菜鱼丸汤	汤羹	菜品	汤羹	
传承古法腊八粥	粥	主食	粥	
传统八宝粥	粥	主食	粥	
传统刀削汤面	其他面	主食	面	其他面
传统刀削面	其他面	主食	面	其他面
传统大拌菜	凉菜	菜品	凉菜	
传统大碴粥	粥	主食	粥	
传统小米粥	粥	主食	粥	
传统手工面筋素胡辣汤	汤羹	菜品	汤羹	
传统手擀清汤面	手擀面	主食	面	手擀面
传统打卤面	盖浇面	主食	面	盖浇面
传统清汤面	汤面	主食	面	汤面
传统清炒虾仁	热菜	菜品	热菜	
传统炒三丝	热菜	菜品	热菜	
传统炒木须	热菜	菜品	热菜	
传统热汤面	汤面	主食	面	汤面
传统石锅蔬菜拌饭	拌饭	主食	饭	拌饭
传统素焖面	焖面	主食	面	焖面
传统芥菜饭	拌饭	主食	饭	拌饭
传统豆腐皮青菜	热菜	菜品	热菜	
传统酸辣汤	汤羹	菜品	汤羹	
传统鸡蛋汤	汤羹	菜品	汤羹	
伽师番茄炖牛肉	热菜	菜品	热菜	
低卡果蔬大拌菜	凉菜	菜品	凉菜	
低卡荞麦京酱面	其他面	主食	面	其他面
低卡荞麦鸡胸冷面	健康餐	色拉轻食	健康餐	
低卡鸡丝魔芋面	健康餐	色拉轻食	健康餐	
低油香葱炒鸡蛋	热菜	菜品	热菜	
低糖油茶面	饼干/曲奇	甜点	饼干/曲奇	
低糖莲子粥	粥	主食	粥	
低脂火腿韩式杂粮拌饭	拌饭	主食	饭	拌饭
低脂荞麦冷面	凉面	主食	面	凉面
低脂荞麦鸡蛋包菜鸡肉丝炒面	炒面	主食	面	炒面
低脂鸡腿饭	盖浇饭	主食	饭	盖浇饭
佬钱豌豆菜饭	焖饭	主食	饭	焖饭
佳人莲藕玉米排骨汤	汤羹	菜品	汤羹	
佳佳大米饭	白米饭	主食	饭	白米饭
佳木斯大拌菜	凉菜	菜品	凉菜	
例份西红柿炒蛋	热菜	菜品	热菜	
俄式传统罗宋汤	其他菜品	其他	其他菜品	
俄式罗宋汤	汤羹	菜品	汤羹	
俄罗斯罗宋汤	汤羹	菜品	汤羹	
俏姐醋溜白菜	热菜	菜品	热菜	
倒笃菜尖椒炒笋干	热菜	菜品	热菜	
倾情推荐丨外婆菜炒鸡蛋	热菜	菜品	热菜	
健体排骨粥	粥	主食	粥	
健康养胃小米粥	粥	主食	粥	
健康南瓜粥	粥	主食	粥	
健康大拌菜	凉菜	菜品	凉菜	
健康小米粥	粥	主食	粥	
健康小青菜	浇头	其他	浇头	
健康清肺菜	热菜	菜品	热菜	
健康炒杂蔬	热菜	菜品	热菜	
健康田园粥	粥	主食	粥	
健康的生菜	蔬菜类	火锅/串串/麻辣烫/色拉自选	配菜	蔬菜类
健康绿豆粥	粥	主食	粥	
健康营养大头菜	凉菜	菜品	凉菜	
健康蔬菜粥	粥	主食	粥	
健康蘸酱菜	凉菜	菜品	凉菜	
健康青菜粥	粥	主食	粥	
健胃小米南瓜粥	粥	主食	粥	
健胃小米粥	粥	主食	粥	
健脾养胃粥	粥	主食	粥	
健脾小米粥	粥	主食	粥	
傻四茄丁面	盖浇面	主食	面	盖浇面
元气奶香乌冬面	乌冬面	主食	面	乌冬面
元气小米粥	粥	主食	粥	
元气竹丝鸡汤	汤羹	菜品	汤羹	
元白菜炒窝头	热菜	菜品	热菜	
元盅鸡汤面	汤面	主食	面	汤面
元葱炒鸡蛋	热菜	菜品	热菜	
元葱鸡蛋盖饭	盖浇饭	主食	饭	盖浇饭
光炒小青菜	热菜	菜品	热菜	
免费海带汤	汤羹	菜品	汤羹	
免费的黑米粥稀饭	粥	主食	粥	
免费紫菜蛋汤	汤羹	菜品	汤羹	
党参乌鸡汤	汤羹	菜品	汤羹	
党参土鸡汤	汤羹	菜品	汤羹	
党参怀山土鸡汤	汤羹	菜品	汤羹	
党参枸杞茶树菇猪心汤	汤羹	菜品	汤羹	
党参枸杞莲子猪肚汤	汤羹	菜品	汤羹	
党参桃仁乌鸡汤	汤羹	菜品	汤羹	
党参猪心汤	汤羹	菜品	汤羹	
党参瘦肉汤	汤羹	菜品	汤羹	
党参红枣乌鸡汤	汤羹	菜品	汤羹	
党参萝卜排骨汤	汤羹	菜品	汤羹	
党参鸡腿汤	汤羹	菜品	汤羹	
党参鹌鹑煨汤	汤羹	菜品	汤羹	
入会专享皮蛋瘦肉粥	粥	主食	粥	
全仔杯装小米粥	粥	主食	粥	
全家福粗粮面	汤面	主食	面	汤面
全家福老鸭粉丝汤	其他粉	主食	粉	其他粉
全得利大拌菜	凉菜	菜品	凉菜	
全瘦芸豆双拼饭	其他主食	主食	其他主食	
